Date,price,rolling_high,drawdown,months_below_high,D,T,score_raw,score,score_pt1,score_pt1_rounded,score_pt1_discrete,bond_weight,stock_weight,returns,dax_weight,portfolio_return,portfolio_value,buy_hold_value,conservative_return,conservative_value
2006-01-31,2305.820068359375,2305.820068359375,0.0,0,0,0,0,0,0.0,0.0,0.0,0.30000000000000004,0.7,,0.7,,,,,
2006-02-28,2281.389892578125,2305.820068359375,-0.01059500527230317,1,0,0,0,0,0.0,0.0,0.0,0.30000000000000004,0.7,-0.01059500527230317,0.7,-0.006166503690612219,99383.34963093878,98940.49947276968,-0.006166503690612219,99383.34963093878
2006-03-31,2339.7900390625,2339.7900390625,0.0,0,0,0,0,0,0.0,0.0,0.0,0.30000000000000004,0.7,0.025598494441640085,0.7,0.019168946109148058,101288.42370416084,101473.22729857646,0.019168946109148058,101288.42370416084
2006-04-30,2322.570068359375,2339.7900390625,-0.007359622195000304,1,0,0,0,0,0.0,0.0,0.0,0.30000000000000004,0.7,-0.007359622195000304,0.7,-0.0039017355365002122,100893.22306195823,100726.42268275157,-0.0039017355365002122,100893.22306195823
2006-05-31,2178.8798828125,2339.7900390625,-0.06877119466431825,2,1,0,1,1,0.28346868942621073,0.5,0.0,0.30000000000000004,0.7,-0.06186688940169427,0.7,-0.04205682258118598,96649.97467999742,94494.79223080946,-0.04205682258118598,96649.97467999742
2006-06-30,2172.090087890625,2339.7900390625,-0.0716730768026812,3,1,1,2,2,0.7700515703936186,1.0,0.7700515703936186,0.2769722587335922,0.8,-0.003116185970339358,0.7230277412664078,-0.001099037825443901,96543.75270199592,94200.32888498966,-0.0009313301792375505,96559.9616417554
2006-07-31,2091.469970703125,2339.7900390625,-0.10612920997769149,4,2,1,3,3,1.4021721292221763,1.5,1.4021721292221763,0.24980378283059923,0.9,-0.03711637820040525,0.7501962171694008,-0.026803717425845336,93956.02123534093,90703.95385149184,-0.024731464740283676,94171.89235508919
2006-08-31,2183.75,2339.7900390625,-0.06668976124243253,5,1,1,2,3,1.571637612254028,1.5,1.4021721292221763,0.22680616448558455,0.9,0.044122091442628575,0.7731938355144155,0.03505995479880036,97250.11509292712,94706.00199753532,0.03213546400984,97198.14981260468
2006-09-30,2258.429931640625,2339.7900390625,-0.034772396695249674,6,0,1,1,1,1.4095962474816504,1.5,1.4021721292221763,0.23804275586239776,0.7,0.03419802250286197,0.7619572441376022,0.027049275797329735,99880.66027739776,97944.75998500311,0.025188615752003377,99646.43666004004
2006-10-31,2366.7099609375,2366.7099609375,0.0,0,0,0,0,1,1.0100198465879222,1.0,1.0100198465879222,0.24755432511293352,0.7,0.04794482564186331,0.7524456748870665,0.03710735304207179,103586.96720038641,102640.70442501825,0.03481137794930431,103115.26642791409
2006-11-30,2431.77001953125,2431.77001953125,0.0,0,0,0,0,1,0.7237108443811815,0.5,1.0100198465879222,0.25560569465854366,0.7,0.02748966272486486,0.7443943053414563,0.021528172115890636,105817.00525923945,105462.26277150454,0.0204927639074054,105228.38323807056
2006-12-31,2415.2900390625,2431.77001953125,-0.00677694861618805,1,0,0,0,1,0.5185614798009116,0.5,1.0100198465879222,0.2624210318392435,0.7,-0.00677694861618805,0.7375789681607565,-0.0039051138016096007,105403.77781155659,104747.55043575514,-0.0034938640313316345,104860.72957479989
2007-01-31,2463.929931640625,2463.929931640625,0.0,0,0,0,0,0,0.3715655367348307,0.5,0.3715655367348307,0.2681900902116734,0.7,0.020138323676027303,0.7318099097883266,0.01585488354185697,107074.94243363058,106856.99051070136,0.01534682657321911,106470.00900592556
2007-02-28,2416.14990234375,2463.929931640625,-0.019391797097517482,1,0,0,0,0,0.2662383410006617,0.5,0.3715655367348307,0.27307349269376247,0.7,-0.019391797097517482,0.7269265073062375,-0.012958605114932274,105687.40053692907,104784.84143226649,-0.012324257968262238,105157.84514905333
2007-03-31,2421.639892578125,2463.929931640625,-0.017163653283898683,2,0,0,0,0,0.19076810740219552,0.0,0.3715655367348307,0.2772072036501363,0.7,0.0022722059707676046,0.7227927963498637,0.002797364122702875,105983.04667941279,105022.93417461484,0.002840544179537323,105456.55065402418
2007-04-30,2525.090087890625,2525.090087890625,0.0,0,0,0,0,0,0.13669132201257655,0.0,0.13669132201257655,0.28070631443068683,0.7,0.042719066377109094,0.7192936855693132,0.03189716434193212,109363.60533680467,109509.41587073897,0.031153346463976366,108741.87511344487
2007-05-31,2604.52001953125,2604.52001953125,0.0,0,0,0,0,0,0.09794361210573532,0.0,0.13669132201257655,0.2836682477597906,0.7,0.031456276360808166,0.7163317522402094,0.023715080596822452,111957.17205172608,112954.17432047961,0.023269393452565717,111272.23259022935
2007-06-30,2603.22998046875,2604.52001953125,-0.0004953077929238381,1,0,0,0,0,0.07017966474445339,0.0,0.13669132201257655,0.2861754701932214,0.7,-0.0004953077929238381,0.7138245298067786,0.000838834940078264,112051.08563943542,112898.2272376954,0.0009032845449533135,111372.74307821055
2007-07-31,2546.27001953125,2604.52001953125,-0.022364965353763533,2,0,0,0,0,0.05028592715497234,0.0,0.05028592715497234,0.2882977881633564,0.7,-0.021880495140595868,0.7117022118366436,-0.014371156003629027,110440.78200733509,110427.9581252391,-0.014066346598417108,109806.13547245596
2007-08-31,2596.360107421875,2604.52001953125,-0.0031329811436210386,3,0,1,1,1,0.31950013071398115,0.5,0.05028592715497234,0.2900942915394825,0.7,0.019671946614619573,0.7099057084605175,0.015173953412996832,112116.60528840934,112600.29102224026,0.0150203626302337,111455.46344627682
2007-09-30,2701.5,2701.5,0.0,0,0,0,0,1,0.2289318473889859,0.0,0.05028592715497234,0.29161499881607766,0.7,0.04049511170564335,0.7083850011839223,0.02990119224861222,115469.02545739985,117160.05238527383,0.029596578193950344,114754.16378530754
2007-10-31,2859.1201171875,2859.1201171875,0.0,0,0,0,0,1,0.16403683664170876,0.0,0.16403683664170876,0.29290224973462353,0.7,0.05834540706551916,0.7070977502653765,0.04247633211490713,120373.72613171302,123995.80333351016,0.04209178494586341,119584.3713690011
2007-11-30,2660.9599609375,2859.1201171875,-0.06930809064605825,1,1,0,1,1,0.4010062189674729,0.5,0.16403683664170876,0.2939918841125213,0.7,-0.06930809064605825,0.7060081158874787,-0.047707108308980006,114631.0437415919,115401.89095634043,-0.04726566345224077,113932.13671772613
2007-12-31,2652.280029296875,2859.1201171875,-0.07234396577017277,2,1,0,1,1,0.570802201051214,0.5,0.16403683664170876,0.29491423970022435,0.7,-0.0032619549967098926,0.7050857602997757,-0.0010711486868345789,114508.25684961761,115025.45518150562,-0.0010333684976969245,113814.40283676673
2008-01-31,2389.860107421875,2859.1201171875,-0.16412742051118623,3,2,1,3,3,1.2594037174762622,1.5,1.2594037174762622,0.26499134182718853,0.9,-0.09894125770142304,0.7350086581728115,-0.07161855047010668,106307.34147718931,103644.69197816879,-0.06800888039099612,106074.01272746842
2008-02-29,2271.47998046875,2859.1201171875,-0.20553181140805243,4,3,1,4,4,2.0362769539296113,2.0,2.0362769539296113,0.23198624186642625,1.0,-0.049534333237952866,0.7680137581335738,-0.03707644008561086,102365.84370024975,98510.7212673772,-0.033424033266567,102528.59139734726
2008-03-31,2279.10009765625,2859.1201171875,-0.20286661481778256,5,3,1,4,4,2.592930952195231,2.5,2.592930952195231,0.20404802792145293,1.0,0.0033546926466538896,0.7959519720785471,0.0035203743441609508,102726.2097901305,98841.19445962945,0.0035982848526577224,102897.51847473667
2008-04-30,2412.800048828125,2859.1201171875,-0.1561039935595352,6,2,1,3,4,2.7083222816824244,2.5,2.592930952195231,0.180398840390949,1.0,0.058663483586950615,0.819601159609051,0.048832321009533546,107742.56904269484,104639.56324852651,0.04231443851086543,107251.56919315655
2008-05-31,2522.659912109375,2859.1201171875,-0.11767963264484982,7,2,1,3,4,2.791003782228735,3.0,2.592930952195231,0.16038023533786638,1.0,0.045532104218336755,0.8396197646621336,0.03889790560894609,111933.52932338291,109404.02274771966,0.03312247295283573,110804.00639290606
2008-06-30,2292.97998046875,2859.1201171875,-0.19801201541530855,8,2,1,3,3,2.8502476661753904,3.0,2.8502476661753904,0.15111076575809834,0.9,-0.09104672831169436,0.8488892342419017,-0.07665895928608595,103352.82145623381,99443.1444124016,-0.062482709818186044,103880.67181476568
2008-07-31,2325.550048828125,2859.1201171875,-0.1866203749719494,9,2,1,3,3,2.892697763983169,3.0,2.8502476661753904,0.14326432915939524,0.9,0.014204253258555122,0.8567356708406048,0.012766225149088883,104672.24684473769,100855.66002046243,0.011192977280988585,105043.40581432219
2008-08-31,2367.52001953125,2859.1201171875,-0.17194104392502196,10,2,2,4,4,3.2065832776255725,3.0,2.8502476661753904,0.12894655021761092,1.0,0.018047330662384287,0.8710534497823891,0.0162574669254067,106373.95243582402,102675.83546602473,0.013883131463668999,106501.73722663394
