,Date,open,high,low,close,Date_time
0,2020-02-03,157.0415802001953,157.0415802001953,157.0415802001953,157.0415802001953,18295.0
1,2020-02-04,161.17018127441406,161.17018127441406,161.17018127441406,161.17018127441406,18296.0
2,2020-02-05,164.60426330566406,164.60426330566406,164.60426330566406,164.60426330566406,18297.0
3,2020-02-06,164.37274169921875,164.37274169921875,164.37274169921875,164.37274169921875,18298.0
4,2020-02-07,160.5335235595703,160.5335235595703,160.5335235595703,160.5335235595703,18299.0
5,2020-02-08,,,,,18300.0
6,2020-02-09,,,,,18301.0
7,2020-02-10,158.56568908691406,158.56568908691406,158.56568908691406,158.56568908691406,18302.0
8,2020-02-11,161.5174560546875,161.5174560546875,161.5174560546875,161.5174560546875,18303.0
9,2020-02-12,167.01583862304688,167.01583862304688,167.01583862304688,167.01583862304688,18304.0
10,2020-02-13,166.43704223632812,166.43704223632812,166.43704223632812,166.43704223632812,18305.0
11,2020-02-14,164.43063354492188,164.43063354492188,164.43063354492188,164.43063354492188,18306.0
12,2020-02-15,,,,,18307.0
13,2020-02-16,,,,,18308.0
14,2020-02-17,166.4177703857422,166.4177703857422,166.4177703857422,166.4177703857422,18309.0
15,2020-02-18,163.36953735351562,163.36953735351562,163.36953735351562,163.36953735351562,18310.0
16,2020-02-19,164.10264587402344,164.10264587402344,164.10264587402344,164.10264587402344,18311.0
17,2020-02-20,163.44671630859375,163.44671630859375,163.44671630859375,163.44671630859375,18312.0
18,2020-02-21,160.14767456054688,160.14767456054688,160.14767456054688,160.14767456054688,18313.0
19,2020-02-22,,,,,18314.0
20,2020-02-23,,,,,18315.0
21,2020-02-24,151.4467315673828,151.4467315673828,151.4467315673828,151.4467315673828,18316.0
22,2020-02-25,149.80685424804688,149.80685424804688,149.80685424804688,149.80685424804688,18317.0
23,2020-02-26,150.1541290283203,150.1541290283203,150.1541290283203,150.1541290283203,18318.0
24,2020-02-27,143.55606079101562,143.55606079101562,143.55606079101562,143.55606079101562,18319.0
25,2020-02-28,143.32455444335938,143.32455444335938,143.32455444335938,143.32455444335938,18320.0
26,2020-02-29,,,,,18321.0
27,2020-03-01,,,,,18322.0
28,2020-03-02,144.34706115722656,144.34706115722656,144.34706115722656,144.34706115722656,18323.0
29,2020-03-03,147.68467712402344,147.68467712402344,147.68467712402344,147.68467712402344,18324.0
